,n,m,CPU1,CPU2,GPU1,GPU2,(CPU1/GPU1),(CPU2/GPU1),(CPU1/GPU2),(CPU2/GPU2),(GPU1/GPU2)
18,4096.0,16.0,605.51,1.9,86.73,3.34,6.981551942811023,0.021907067911910525,181.29041916167665,0.5688622754491018,25.967065868263475
20,4096.0,32.0,602.95,2.66,86.63,3.32,6.960060025395361,0.030705298395475013,181.61144578313255,0.8012048192771085,26.093373493975903
22,4096.0,64.0,602.72,4.13,106.09,3.36,5.681214063530964,0.03892921104722405,179.3809523809524,1.2291666666666667,31.574404761904763
17,4096.0,128.0,603.05,7.02,86.65,3.36,6.959607616849393,0.08101557991921522,179.47916666666666,2.0892857142857144,25.788690476190478
16,4096.0,1024.0,631.84,47.65,106.77,3.76,5.917767163060786,0.4462864100402735,168.0425531914894,12.672872340425533,28.39627659574468
19,4096.0,2048.0,664.43,94.09,112.6,4.21,5.900799289520426,0.8356127886323269,157.82185273159143,22.349168646080763,26.7458432304038
21,4096.0,4096.0,733.72,187.06,109.31,5.15,6.712286158631415,1.7112798463086634,142.46990291262136,36.322330097087374,21.2252427184466
23,4096.0,8192.0,876.39,373.49,113.63,7.53,7.712663909178914,3.286896066179706,116.38645418326692,49.60026560424967,15.090305444887116
26,8192,16,N/A,7.72,770.52,12.98,N/A,0.010019207807714271,N/A,0.5947611710323575,59.36209553158705
28,8192,32,N/A,10.82,651.3,13.07,N/A,0.016612927990173502,N/A,0.827850038255547,49.83167559296098
30,8192,64,N/A,16.66,773.85,13.09,N/A,0.02152872003618272,N/A,1.2727272727272727,59.11764705882353
25,8192,128,N/A,28.44,600.21,13.28,N/A,0.047383415804468434,N/A,2.141566265060241,45.19653614457832
24,8192,1024,N/A,190.76,598.08,15.34,N/A,0.31895398608881753,N/A,12.435462842242503,38.98826597131682
27,8192,2048,N/A,376.21,779.01,17.38,N/A,0.4829334668361125,N/A,21.64614499424626,44.82220943613349
29,8192,4096,N/A,747.8,N/A,21.64,N/A,N/A,N/A,34.55637707948244,N/A
31,8192,8192,N/A,1493.71,N/A,35.23,N/A,N/A,N/A,42.398807834232194,N/A
2,12288,16,N/A,17.34,N/A,29.09,N/A,N/A,N/A,0.5960811275352355,N/A
4,12288,32,N/A,24.06,N/A,29.31,N/A,N/A,N/A,0.8208802456499488,N/A
6,12288,64,N/A,37.2,N/A,29.44,N/A,N/A,N/A,1.2635869565217392,N/A
1,12288,128,N/A,63.63,N/A,29.99,N/A,N/A,N/A,2.1217072357452484,N/A
0,12288,1024,N/A,428.54,N/A,35.34,N/A,N/A,N/A,12.1262026032824,N/A
3,12288,2048,N/A,845.94,N/A,40.02,N/A,N/A,N/A,21.137931034482758,N/A
5,12288,4096,N/A,1681.92,N/A,49.99,N/A,N/A,N/A,33.64512902580516,N/A
7,12288,8192,N/A,N/A,N/A,84.34,N/A,N/A,N/A,N/A,N/A
10,16384,16,N/A,33.34,N/A,51.65,N/A,N/A,N/A,0.6454985479186836,N/A
12,16384,32,N/A,44.91,N/A,51.81,N/A,N/A,N/A,0.8668210770121597,N/A
14,16384,64,N/A,68.79,N/A,52.5,N/A,N/A,N/A,1.3102857142857145,N/A
9,16384,128,N/A,114.47,N/A,53.41,N/A,N/A,N/A,2.143231604568433,N/A
8,16384,1024,N/A,763.42,N/A,65.7,N/A,N/A,N/A,11.619786910197869,N/A
11,16384,2048,N/A,1505.0,N/A,77.42,N/A,N/A,N/A,19.439421338155515,N/A
13,16384,4096,N/A,2992.29,N/A,104.75,N/A,N/A,N/A,28.566014319809067,N/A
15,16384,8192,N/A,N/A,N/A,193.37,N/A,N/A,N/A,N/A,N/A
